"year","num_teams","r_squared","slope"
"2015",30,0.913251963184226,-10.9997353042429
"2014",30,0.972105552033437,-11.1547976521441
"2013",30,0.985084893515734,-10.994889605871
"2012",30,0.983277591973244,-11.3970825707398
"2010",30,0.986221935491164,-11.4503852528308
"2009",30,0.967527488988324,-10.936741225408
"2008",30,0.985768014403059,-12.4049878320977
"2007",30,0.977197067345608,-12.1142459297829
"2006",30,0.933520029618082,-9.47818601546216
"2005",30,0.942777089304186,-9.64778545847912
"2003",29,0.977097978627527,-9.66460313960971
"2002",29,0.948024396711747,-9.34820244158677
"2001",29,0.974772140004698,-9.5286292859139
"2000",29,0.942125499826831,-10.1143628095266
"1999",29,0.967667678141676,-10.6687177515172
"1997",29,0.959074824242741,-13.0142667277699
"1996",29,0.98563549186242,-13.7699675685024
"1995",29,0.95970736224726,-11.9787735342403
"1994",27,0.995470201107492,-11.3936423090319
"1993",27,0.955466349564818,-12.2729142195509
"1992",27,0.970522402920677,-10.1239244802057
"1991",27,0.973480222660022,-10.9540063537725
"1990",27,0.986646943195069,-11.8302038869819
"1989",27,0.944197937244019,-11.90398894241
"1988",25,0.93323917812364,-10.5928693554169
"1987",23,0.96672113219137,-9.94168294378018
"1986",23,0.956971840053571,-9.79934117456275
"1985",23,0.95033081541191,-10.6267027081391
"1984",23,0.934776243719077,-9.92389022262801
"1983",23,0.946113500584557,-7.92665727329588
"1982",23,0.957047613885383,-10.3731564317205
"1981",23,0.960430272762197,-9.34117860489414
"1980",23,0.975849846562152,-10.7512517562043
"1979",22,0.957711763168701,-10.0008235528327
"1978",22,0.924364823263232,-6.96997179496532
"1977",22,0.937881194409149,-7.19703886477298
"1976",22,0.957990295820943,-5.98272366536683
"1974",18,0.893686294888647,-8.03060628190063
"1973",17,0.986596909537454,-9.91855867162407
"1972",17,0.987230453064764,-13.5761270062487
"1971",17,0.981416746193104,-13.8955652887487
"1970",17,0.890385355219287,-8.41719874387421
"1969",14,0.952371144603794,-8.81216902639626
"1968",14,0.971018469967314,-9.719860256583
"1967",12,0.963587591287718,-10.0554690548208
"2016",30,0.947940874384346,-9.68170534708252
"2004",30,0.977522442313657,-9.93852736079391
"1975",18,0.912734314119064,-6.88237661299767
