"year","slope"
"2015",-7.87189092065348
"2014",-4.71579479395792
"2009",-3.46803586014804
"1997",-4.25705989182193
"1996",-4.27540928790737
"1993",-3.33197889148976
"1988",-4.25744645769457
"1987",-3.5867528376468
"1986",-6.2403667256619
"1985",-7.17350567529359
"1979",-4.62910049886276
"1969",-5.42217668469038
"1967",-4.13118223595458
"2010",-4.40385506050544
"2008",-5.83510795516971
"2007",-3.72492740534419
"2001",-5.04608392349582
"1992",-4.65564173879391
"1991",-4.92950301754649
"1990",-4.01663208837122
"1989",-3.33197889148977
"1984",-7.34846922834953
"1983",-4.86981889339036
"1982",-5.21974599950225
"1981",-6.09456376478194
"1980",-6.00708198825398
"1975",-4.81070235442364
"1974",-6.41426980589819
"1973",-3.79473319220206
"1972",-5.53398590529466
"1971",-6.79889696936201
"2016",-5.32132486477741
"2012",-5.54151761780267
"2005",-6.51403561033097
"2003",-4.93598754698318
"2002",-4.49560204093264
"2006",-6.44063802598921
"2004",-5.00938513132494
"1995",-7.8351921284826
"1970",-6.32455532033676
"1994",-4.65564173879392
"2013",-3.9634695544549
"2000",-2.71571062064502
"1977",-4.55194882388171
"1976",-2.00594354950719
"1978",-2.54600527437452
"1999",-4.84424056655599
"1968",-1.16189500386223
