"w1","w2","count"
"united","states",17
"dont","think",13
"get","along",11
"people","will",11
"dont","know",10
"law","enforcement",10
"long","time",9
"one","thing",9
"take","care",9
"north","korea",7
"small","group",7
"dont","want",6
"much","easier",6
"will","say",6
"african","american",5
"cant","make",5
"health","care",5
"many","cases",5
"new","york",5
"will","never",5
"can","say",4
"cant","get",4
"just","like",4
"people","get",4
"street","journal",4
"wall","street",4
"without","using",4
"york","times",4
"almost","always",3
"every","day",3
"gang","members",3
"just","one",3
"people","like",3
"really","believe",3
"already","happening",2
"bad","thing",2
"can","ever",2
"certainly","didnt",2
"dont","need",2
"ever","get",2
"got","along",2
"harvard","law",2
"important","point",2
"just","think",2
"just","wait",2
"law","school",2
"low","level",2
"make","sense",2
"now","just",2
"one","way",2
"people","got",2
"people","including",2
"people","take",2
"prime","minister",2
"start","screaming",2
"two","cases",2
"will","create",2
"will","move",2
"yeah","sure",2
